16,0.012072,0.005815,0.005051
32,0.012477,0.006335,0.005827
64,0.020169,0.011212,0.010013
128,0.067638,0.035185,0.033332
256,0.257165,0.133727,0.122377
512,1.159372,0.719065,0.673524
1024,4.911352,2.771535,2.604236
16,0.015707,0.006382,0.005265
32,0.021987,0.007743,0.005791
64,0.046245,0.011688,0.010048
128,0.065046,0.036922,0.033704
256,0.248150,0.127663,0.120283
512,1.100130,0.701672,0.681184
1024,4.949152,2.847613,2.662099
16,0.015567,0.006414,0.005173
32,0.011534,0.006372,0.005731
64,0.023787,0.011846,0.009841
128,0.085690,0.035871,0.034358
256,0.260179,0.135388,0.124820
512,1.182376,0.712903,0.681199
1024,5.267442,2.843251,2.602682
16,0.017358,0.006330,0.004820
32,0.014574,0.007290,0.006474
64,0.046937,0.013905,0.011770
128,0.082698,0.036840,0.034388
256,0.251828,0.132789,0.122650
512,1.182153,0.700808,0.664725
1024,4.848588,2.844237,2.573705
16,0.016229,0.006231,0.005263
32,0.012600,0.006978,0.005737
64,0.024348,0.013088,0.012007
128,0.076035,0.038024,0.034660
256,0.251366,0.135863,0.123648
512,1.296616,0.725032,0.681608
1024,5.203987,2.901696,2.704656
