16,0.557134,0.376495,0.349754
32,0.567144,0.411791,0.391605
64,0.697304,0.108559,0.196446
128,1.457883,0.594278,0.338376
256,1.122811,0.662816,0.647677
512,3.765178,1.116230,1.581148
1024,10.737274,6.136437,5.403152
16,0.593415,0.406378,0.417967
32,0.592576,0.339122,0.539405
64,1.037714,0.303177,0.468431
128,2.465703,0.649080,0.606079
256,2.935922,1.018980,0.743848
512,3.403192,1.869799,1.748456
1024,10.112473,5.607760,4.900456
16,0.578311,0.176081,0.025436
32,0.433280,0.354657,0.192051
64,0.748974,0.407077,0.421069
128,0.783993,0.407504,0.363346
256,1.740516,0.653522,0.678700
512,3.306047,1.841709,1.480229
1024,9.798213,5.964992,4.922268
16,0.524873,0.066736,0.192075
32,0.031096,0.008472,0.006840
64,0.166872,0.016492,0.018655
128,0.119305,0.068168,0.041710
256,0.410870,0.213830,0.206334
512,3.003489,1.745309,0.883299
1024,10.474280,5.215402,4.882629
16,0.379989,0.007293,0.256342
32,0.033990,0.009597,0.007845
64,0.633231,0.531734,0.493036
128,0.971038,0.535460,0.425698
256,1.253558,0.730708,0.566767
512,2.953899,1.505548,1.394331
1024,10.282348,5.791165,4.872291
