16,0.726323,0.635829,0.766842
32,2.318397,1.034069,1.205323
64,1.321234,0.749714,0.798725
128,1.689190,0.773037,0.540458
256,1.954844,0.900068,0.636578
512,3.949478,2.467519,1.591208
1024,5.951850,3.292983,2.858540
16,0.943319,0.839769,0.884495
32,0.874684,0.859480,0.835706
64,1.186960,0.729273,0.713441
128,2.422792,0.856250,0.831198
256,5.475013,1.445205,0.858779
512,6.526881,2.444668,1.955178
1024,24.221597,7.678593,6.320000
16,0.666358,0.627860,0.463848
32,1.824587,0.708741,0.615391
64,1.525358,0.695504,0.751503
128,1.455136,0.637700,0.659195
256,3.148669,1.079067,0.814368
512,7.185569,2.306295,1.672694
1024,10.843574,6.095877,5.533310
16,0.351951,0.437612,0.587996
32,0.658891,0.515124,0.642967
64,2.708742,0.794936,0.655337
128,1.185284,0.892364,0.785255
256,2.123105,0.976295,0.869103
512,5.862883,3.069179,2.421808
1024,14.702012,9.831791,7.607508
16,0.427190,0.355374,0.162488
32,0.484818,0.205303,0.478403
64,0.619683,0.426642,0.335919
128,0.805252,0.439267,0.262533
256,1.299630,0.583162,0.481234
512,3.634183,2.013601,1.411956
1024,10.372712,5.607537,5.267864
16,0.030579,0.010316,0.007376
32,0.047068,0.013395,0.009919
64,0.082404,0.032238,0.024349
128,0.206799,0.097688,0.079984
256,0.602549,0.354213,0.311114
512,2.157123,1.469594,1.372452
1024,9.698921,6.002193,5.542698
