16,0.515357,0.371535,0.531936
32,0.572155,0.303598,0.395722
64,0.749823,0.371916,0.387986
128,2.548368,1.231477,0.868510
256,2.232978,0.842659,0.710242
512,5.948622,1.987017,1.616564
1024,10.278930,5.103975,5.288010
16,1.844266,0.969310,0.932094
32,1.880886,0.775611,0.854808
64,1.008928,0.595504,0.505080
128,1.372675,0.835255,0.519155
256,1.686619,0.825034,0.769969
512,3.539606,1.726506,1.610036
1024,12.423420,7.567789,6.273319
16,0.898619,0.557409,0.546984
32,0.848183,0.613844,0.695848
64,1.711890,0.942459,0.835827
128,2.178245,0.927056,0.738114
256,3.204303,1.221344,0.929533
512,6.619054,2.883841,1.956318
1024,17.548937,8.936617,6.501620
16,0.975544,0.631740,0.597401
32,1.047465,0.741029,0.518312
64,1.419354,0.660431,0.792383
128,2.851062,0.746521,0.611470
256,3.231222,1.294275,0.876099
512,5.503530,1.952286,1.725336
1024,12.452244,5.954718,5.295307
16,0.397408,0.443062,0.407629
32,0.036848,0.013894,0.009825
64,0.632894,0.384791,0.420460
128,1.140444,0.516515,0.380369
256,1.317418,0.656876,0.615591
512,2.713659,1.432312,1.408017
1024,10.034068,5.628570,4.517004
16,0.707001,0.597028,0.525766
32,0.626879,0.623680,0.646075
64,0.883259,0.643808,0.521573
128,1.292958,0.628762,0.605011
256,2.583624,1.251415,0.659523
512,4.078971,2.057654,1.745907
1024,6.809415,3.358586,2.826839
